CSP Name,Force Name,Region,ONS Code
Adur,Wiltshire,South East Region,E22000290
Allerdale,Wiltshire,North West Region,E22000031
Amber Valley,Wiltshire,East Midlands Region,E22000037
Arun,Wiltshire,South East Region,E22000291
Ashfield,Wiltshire,East Midlands Region,E22000251
Ashford,Wiltshire,South East Region,E22000137
Aylesbury Vale,West Yorkshire,South East Region,E22000303
Barking and Dagenham,West Yorkshire,London Region,E22000186
Barnet,West Yorkshire,London Region,E22000187
Barnsley,West Yorkshire,Yorkshire and the Humber,E22000259
Barrow-in-Furness,West Yorkshire,North West Region,E22000032
Basildon,West Midlands,Eastern Region,E22000079
Basingstoke and Deane,West Midlands,South East Region,E22000109
Bassetlaw,West Midlands,East Midlands Region,E22000252
Bath and North East Somerset,West Midlands,South West Region,E22000001
Bedford,West Midlands,Eastern Region,E22000009
Bexley,West Midlands,London Region,E22000188
Birmingham,West Midlands,West Midlands Region,E22000335
Blaby,West Mercia,East Midlands Region,E22000164
Blackburn with Darwen,West Mercia,North West Region,E22000150
Blackpool,West Mercia,North West Region,E22000151
Blaenau Gwent,West Mercia,Wales,W14000019
Bolsover,West Mercia,East Midlands Region,E22000038
Bolton,West Mercia,North West Region,E22000099
Boston,West Mercia,East Midlands Region,E22000173
Bournemouth,West Mercia,South West Region,E22000063
Bracknell Forest,West Mercia,South East Region,E22000304
Bradford,West Mercia,Yorkshire and the Humber,E22000342
Braintree,West Mercia,Eastern Region,E22000080
Breckland,West Mercia,Eastern Region,E22000218
Brent,West Mercia,London Region,E22000189
Brentwood,West Mercia,Eastern Region,E22000081
Bridgend,West Mercia,Wales,W14000013
Brighton and Hove,West Mercia,South East Region,E22000292
"Bristol, City of",Warwickshire,South West Region,E22000002
Broadland,Warwickshire,Eastern Region,E22000219
Bromley,Warwickshire,London Region,E22000190
Bromsgrove,Warwickshire,West Midlands Region,E07000234
Broxbourne,Warwickshire,Eastern Region,E22000123
Burnley,Warwickshire,North West Region,E22000152
Bury,Thames Valley,North West Region,E22000100
Caerphilly,Thames Valley,Wales,W14000018
Calderdale,Thames Valley,Yorkshire and the Humber,E22000343
Cambridge,Thames Valley,Eastern Region,E22000013
Camden,Thames Valley,London Region,E22000191
Cannock Chase,Thames Valley,West Midlands Region,E22000263
Canterbury,Thames Valley,South East Region,E22000138
Cardiff,Thames Valley,Wales,W14000015
Carlisle,Thames Valley,North West Region,E22000033
Carmarthenshire,Thames Valley,Wales,W14000010
Castle Point,Thames Valley,Eastern Region,E22000082
Central Bedfordshire,Thames Valley,Eastern Region,E22000353
Central Beds_Mid Bedfordshire,Thames Valley,Eastern Region,E06000056
Central Beds_South Bedfordshire,Thames Valley,Eastern Region,E06000056
Ceredigion,Thames Valley,Wales,W14000008
Charnwood,Thames Valley,East Midlands Region,E22000165
Chelmsford,Sussex,Eastern Region,E22000083
Cheltenham,Sussex,South West Region,E22000093
Cherwell,Sussex,South East Region,E22000305
Cheshire East,Sussex,North West Region,E22000354
Cheshire East_Congleton,Sussex,North West Region,E07000014
